bit,codigo,equipo,orden_album,slot,jugador_tipo,tier,pagina
412,ECU13,Ecuador,20,13,Foto equipo,base,46-47
413,ECU14,Ecuador,20,14,John Yeboah,base,46-47
414,ECU15,Ecuador,20,15,Leonardo Campana,base,46-47
415,ECU16,Ecuador,20,16,Gonzalo Plata,base,46-47
416,ECU17,Ecuador,20,17,Nilson Angulo,base,46-47
417,ECU18,Ecuador,20,18,Alan Minda,base,46-47
418,ECU19,Ecuador,20,19,Kevin Rodríguez,base,46-47
419,ECU20,Ecuador,20,20,Enner Valencia,base,46-47
420,NED1,Paises Bajos,21,1,Escudo (foil),T2,48-49
421,NED2,Paises Bajos,21,2,Bart Verbruggen,base,48-49
422,NED3,Paises Bajos,21,3,Virgil van Dijk,T3,48-49
423,NED4,Paises Bajos,21,4,Micky van de Ven,base,48-49
424,NED5,Paises Bajos,21,5,Jurriën Timber,base,48-49
